Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Newport,125 Mason St,3,h,,S,Greg,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
Newport,3 River St,3,h,1210000,SP,Williams,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
Newport,73 William St,4,h,,S,RT,6/08/2016,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
Noble Park,1/9 Cole St,2,u,,SN,Barry,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
Noble Park,8 Kuringgai Cr,4,h,670000,SP,Raine,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
Noble Park,44 Nockolds Cr,3,h,770000,PI,iSell,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
Noble Park,11 Through Rd,2,h,,SN,Barry,6/08/2016,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
North Melbourne,11 Erskine Pl,2,t,,PI,Nardella,6/08/2016,3051,Northern Metropolitan,6821,1.8,Melbourne City Council
Northcote,142 Separation St,2,h,,SP,Nelson,6/08/2016,3070,Northern Metropolitan,11364,5.3,Darebin City Council
Northcote,11/94 Union St,2,u,583000,SP,Nelson,6/08/2016,3070,Northern Metropolitan,11364,5.3,Darebin City Council
Nunawading,3/93 Esdale St,3,t,840000,S,Jellis,6/08/2016,3131,Eastern Metropolitan,4973,15.4,Manningham City Council
Nunawading,6 Shrewsbury Rd,3,h,928000,S,Fletchers,6/08/2016,3131,Eastern Metropolitan,4973,15.4,Manningham City Council
Oak Park,1/9 Cartwright St,2,u,476000,S,hockingstuart,6/08/2016,3046,Northern Metropolitan,2651,11.2,Moreland City Council
Oak Park,1/8 Gregory St,3,t,,PI,Barry,6/08/2016,3046,Northern Metropolitan,2651,11.2,Moreland City Council
Oakleigh,98 Haughton Rd,2,h,,SN,Buxton,6/08/2016,3166,Southern Metropolitan,3224,12.3,Monash City Council
Oakleigh East,46 Carmichael Rd,3,h,1115000,S,Buxton,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council
Oakleigh East,16 Gamble St,3,h,952000,S,Ray,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council
Oakleigh East,2/18 Oakleigh St,4,t,680000,PI,RT,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council
Oakleigh East,2a Turnbull Av,2,h,610000,S,Ray,6/08/2016,3166,Southern Metropolitan,2547,12.3,Monash City Council
Ormond,1 Bethell St,3,h,1256000,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council
Ormond,15 Tyrone St,4,h,1918000,S,Buxton,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council
Ormond,2/27 Wheeler St,3,u,900000,S,hockingstuart,6/08/2016,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council
Parkdale,2/1 Imes St,2,u,647000,S,Chisholm,6/08/2016,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council
Parkdale,19/156 Lower Dandenong Rd,3,u,601000,S,Buxton,6/08/2016,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council
Pascoe Vale,16 Burgundy St,2,h,555000,S,Brad,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,2/22 Joffre Rd,3,u,585000,S,Jellis,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,6/99 Kent Rd,2,t,480000,S,Ray,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,2/58 Railway Pde,2,t,480000,PI,Nelson,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,1/94 Railway Pde,4,t,605000,PI,Brad,6/08/2016,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Patterson Lakes,3 Starboard La,4,h,,VB,Ray,6/08/2016,3197,South-Eastern Metropolitan,3351,31.2,Kingston City Council
Port Melbourne,304/38 Nott St,2,u,795000,S,Cayzer,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,130/70 Nott St,2,u,590000,VB,Marshall,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,89 Raglan St,4,h,1502000,S,Chisholm,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,55 Ross St,2,t,,SN,Cayzer,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,504/142 Rouse St,2,u,,S,RT,6/08/2016,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Prahran,4/313 Dandenong Rd,1,u,330000,VB,hockingstuart,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Prahran,14 Doon St,3,h,1430000,S,Marshall,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Prahran,10/37 Greville St,1,u,325000,VB,Biggin,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Prahran,50 Packington St,3,h,,S,Jellis,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Prahran,16 Park Rd,3,t,1245000,PI,Marshall,6/08/2016,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Preston,24 Benambra St,3,h,840000,S,Barry,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,2/3 Burkitt Ct,3,u,496000,S,hockingstuart,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,8/226 Gower St,2,t,462500,S,Ray,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,10 May St,4,h,931000,S,Nelson,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,5 Newman St,2,h,942000,S,Love,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,60 Ruby St,2,h,,PI,Peter,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,3/90 Wood St,2,t,,PI,Ray,6/08/2016,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Reservoir,57 Barry St,3,h,800000,S,Barry,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,29 Dredge St,3,h,510000,PI,Barry,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,3/11 Erskine Av,2,t,,PI,hockingstuart,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,86 Hickford St,3,h,651000,SP,Ray,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,3/154 Leamington St,2,u,,SP,Love,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,10 Zinnia St,3,h,502500,S,Ray,6/08/2016,3073,Northern Metropolitan,21650,12,Darebin City Council
Richmond,22 Buckingham St,2,h,720000,S,Biggin,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,36/86 Burnley St,2,u,550000,SP,Jellis,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,13 Fordham Ct,2,h,,S,Biggin,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,21 Gardner St,3,h,1152500,S,Biggin,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,33a River St,4,h,1375000,S,hockingstuart,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,28 Stawell St,3,h,1422000,S,hockingstuart,6/08/2016,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Riddells Creek,18 March Ct,3,h,,PN,L,6/08/2016,3431,Northern Victoria,1475,47.4,Macedon Ranges Shire Council
Ringwood,75 Heywood St,3,h,760000,S,Fletchers,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood,2/49 Loughnan Rd,2,t,560000,SP,Fletchers,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood,1 Margaret St,3,h,555000,SP,Barry,6/08/2016,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Rosanna,2/191 Mountain View Pde,3,u,,SN,Barry,6/08/2016,3084,Eastern Metropolitan,3540,8.9,Banyule City Council
Roxburgh Park,106 Rossiter Av,4,h,,PN,Melbourne,6/08/2016,3064,Northern Metropolitan,5833,20.6,Hume City Council
Roxburgh Park,10 Statesman Av,4,h,,PI,Barry,6/08/2016,3064,Northern Metropolitan,5833,20.6,Hume City Council
Sandhurst,11 Kensei Pl,3,h,688000,S,Asset,6/08/2016,3977,South-Eastern Metropolitan,1721,34.7,Frankston City Council
Sandringham,1 Edward St,4,h,2500000,PI,hockingstuart,6/08/2016,3191,Southern Metropolitan,4497,15.2,Bayside City Council
Seaford,16 Downs Rd,2,h,350500,S,Munn,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaford,3/78 East Rd,3,h,429000,S,Ray,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaford,2/6 Wise Av,3,t,491000,PI,Barry,6/08/2016,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaholme,41 Simmons Dr,3,h,860000,PI,RT,6/08/2016,3018,Western Metropolitan,852,11,Hobsons Bay City Council
Seddon,24/294 Nicholson St,2,u,450000,S,Village,6/08/2016,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council
South Kingsville,1/39 New St,2,t,650000,SP,Greg,6/08/2016,3015,Western Metropolitan,984,6.2,Hobsons Bay City Council
South Morang,3 Eden Ct,5,h,837000,S,Harcourts,6/08/2016,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council
South Yarra,2/13 Motherwell St,1,u,465000,S,Biggin,6/08/2016,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
South Yarra,402/89 River St,2,u,801000,S,Biggin,6/08/2016,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
Southbank,108/38 Kavanagh St,2,u,,W,Edward,6/08/2016,3006,Southern Metropolitan,8400,0.7,Melbourne City Council
Southbank,92/99 Whiteman St,2,u,650000,VB,Marshall,6/08/2016,3006,Southern Metropolitan,8400,0.7,Melbourne City Council
Spotswood,10 Raleigh St,3,h,855000,S,RT,6/08/2016,3015,Western Metropolitan,1223,6.2,Hobsons Bay City Council
Springvale,4 Grace St,3,h,680000,S,iSell,6/08/2016,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council
Springvale,28 Gunther Av,3,h,822000,S,iSell,6/08/2016,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council
Springvale South,7 Bindi Cl,6,h,810000,S,Nexus,6/08/2016,3172,South-Eastern Metropolitan,4054,22.2,Greater Dandenong City Council
St Albans,27 Mulhall Dr,4,h,700000,S,Ray,6/08/2016,3021,Western Metropolitan,14042,14,Brimbank City Council
St Kilda,3/239 Canterbury Rd,1,u,211000,S,Gary,6/08/2016,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,74 Chapel St,2,h,875000,S,Noel,6/08/2016,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,1002/6 St Kilda Rd,1,u,440000,SP,hockingstuart,6/08/2016,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,303/115 Wellington St,3,u,1110000,S,Kay,6/08/2016,3182,Southern Metropolitan,13240,5,Port Phillip City Council
Strathmore,9/2 North Av,2,u,410000,S,Nelson,6/08/2016,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore,43 Woolart St,4,h,1015000,S,Considine,6/08/2016,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Sunshine,51 Ardoyne St,4,h,700000,PI,Douglas,6/08/2016,3020,Western Metropolitan,3755,10.5,Brimbank City Council
Sunshine,11 Dunbar Av,4,h,,PI,Barry,6/08/2016,3020,Western Metropolitan,3755,10.5,Brimbank City Council
Sunshine North,36 Buckley Av,3,h,545000,S,Sweeney,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council
Sunshine North,13 Surman Ct,3,h,480000,PI,Douglas,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council
Sunshine North,38 Warwick Rd,2,h,435000,S,Douglas,6/08/2016,3020,Western Metropolitan,4217,10.5,Brimbank City Council
Surrey Hills,18 Benson St,4,h,2500000,VB,Jellis,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,7 Empress Rd,3,h,1910000,S,Marshall,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,16 Park Rd,2,h,1018000,S,RT,6/08/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Sydenham,13 Brogil Wk,4,h,601000,S,Ray,6/08/2016,3037,Western Metropolitan,3640,18,Brimbank City Council
Sydenham,14 Hume Dr,4,h,680000,S,GL,6/08/2016,3037,Western Metropolitan,3640,18,Brimbank City Council
Tarneit,19 Armadale Ct,4,h,548000,S,hockingstuart,6/08/2016,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,333 Hogans Rd,4,h,,SP,hockingstuart,6/08/2016,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,2 Seaton Ct,4,h,534000,S,Ray,6/08/2016,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Taylors Lakes,7 Lyell Pl,5,h,705000,S,Prof.,6/08/2016,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Templestowe,21 Ferndell Cr,4,h,,SP,hockingstuart,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe,2 Glendarragh Rd,5,h,1030000,PI,Barry,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe,87 Greenridge Av,4,h,,SN,Ray,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe,1/6 Reark Ct,4,t,1230000,PI,Ray,6/08/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe Lower,3c Ashford St,3,t,,S,Noel,6/08/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,8 Corroboree Pl,3,h,1200000,S,Jellis,6/08/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,157 Swanston St,4,h,990000,PI,Barry,6/08/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Thomastown,26 Cedar St,4,h,640000,S,Love,6/08/2016,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,24 Dakota Dr,4,h,,PI,Ray,6/08/2016,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,54 Lincoln Dr,3,h,,S,Nelson,6/08/2016,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Toorak,4/8 Bruce St,2,u,925000,S,RT,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,10/1 Ruabon Rd,2,u,450000,PI,Rodney,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,15/24 Springfield Av,2,u,750000,S,Rodney,6/08/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Tullamarine,4/262 Melrose Dr,3,t,450000,SP,Jason,6/08/2016,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,10 Strathconnon Sq,3,h,555000,S,YPA,6/08/2016,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Vermont South,853 Highbury Rd,4,h,1138000,S,First,6/08/2016,3133,Eastern Metropolitan,4280,17.2,Whitehorse City Council
Viewbank,24 Martins La,3,h,820000,S,Nelson,6/08/2016,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Wantirna,1 Glebe Ct,5,h,,SN,Barry,6/08/2016,3152,Eastern Metropolitan,5424,14.7,Knox City Council
Wantirna South,120 Fraser Cr,5,h,820000,S,Ray,6/08/2016,3152,Eastern Metropolitan,7082,14.7,Knox City Council
Wantirna South,12 Snowden Pl,4,h,960000,PI,Jellis,6/08/2016,3152,Eastern Metropolitan,7082,14.7,Knox City Council
Warrandyte,1 Aylesbury Wy,5,h,1765000,S,Bekdon,6/08/2016,3113,Eastern Metropolitan,2003,21.1,Manningham City Council
Waterways,17 Barmah Pl,4,h,950000,S,Ray,6/08/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Watsonia,2/21 High St,3,h,690000,S,Buckingham,6/08/2016,3087,Northern Metropolitan,2329,14.5,Banyule City Council
Werribee,6 Tully Ct,3,h,370000,S,YPA,6/08/2016,3030,Western Metropolitan,16166,14.7,Wyndham City Council
West Melbourne,8/115 Stanley St,2,t,800000,VB,Nelson,6/08/2016,3003,Northern Metropolitan,2230,3.1,Melbourne City Council
Wheelers Hill,8 Bellini Av,3,h,895000,S,Harcourts,6/08/2016,3150,South-Eastern Metropolitan,7392,16.7,Monash City Council
Wheelers Hill,9 Yvonne Ct,5,h,,SN,hockingstuart,6/08/2016,3150,South-Eastern Metropolitan,7392,16.7,Monash City Council
Williamstown,25 Anzac Cr,2,h,1500000,SP,Greg,6/08/2016,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council
Williamstown,74 Thompson St,4,h,,S,RT,6/08/2016,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council
Windsor,6/213 Dandenong Rd,2,u,600000,S,hockingstuart,6/08/2016,3181,Southern Metropolitan,4380,4.6,Port Phillip City Council
Wollert,18 Gunther Wy,4,h,,PI,Barry,6/08/2016,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Woori Yallock,1842 Warburton Hwy,4,h,950000,S,Bell,6/08/2016,3139,Northern Victoria,1164,35.2,Yarra Ranges Shire Council
Yarraville,8 Ofarrell St,3,h,,SN,hockingstuart,6/08/2016,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,1/53 Stephen St,2,u,410000,PI,hockingstuart,6/08/2016,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,3/247 Williamstown Rd,3,h,,S,Burnham,6/08/2016,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Abbotsford,148 Park St,3,h,1150000,PI,Biggin,6/10/2018,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,56 Park St,2,h,1445000,S,Jellis,6/10/2018,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,59/84 Trenerry Cr,2,u,750000,VB,Biggin,6/10/2018,3067,Northern Metropolitan,4019,3,Yarra City Council
Aberfeldie,2b Batman St,4,t,1150000,SP,Frank,6/10/2018,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Aberfeldie,67 Fawkner St,3,h,1407000,PI,Rendina,6/10/2018,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Aberfeldie,6A Jean St,3,t,775000,VB,McDonald,6/10/2018,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Airport West,2/30 Creswell Av,3,u,751000,S,Rendina,6/10/2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,10 Mallinson Ct,4,h,1190000,S,Jellis,6/10/2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,23A Matthews Av,4,h,,PI,Barry,6/10/2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albert Park,107 Danks St,2,h,,S,Greg,6/10/2018,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albert Park,13 Durham St,2,h,1200000,VB,Marshall,6/10/2018,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,16 Burnewang St,3,h,852500,S,hockingstuart,6/10/2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Albion,1/33 King Edward Av,3,t,548000,S,HAR,6/10/2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Albion,50C Selwyn St,3,t,605000,S,Barry,6/10/2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Albion,6 Selwyn St,2,h,660000,PI,Barry,6/10/2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Alphington,8/96 Yarralea St,2,u,480000,VB,Jellis,6/10/2018,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Altona North,39 Beevers St,3,h,,PI,hockingstuart,6/10/2018,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Armadale,14/579 Dandenong Rd,2,u,510000,SP,Purplebricks,6/10/2018,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,16/25 Kooyong Rd,2,u,,PI,Marshall,6/10/2018,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,6/7 Sutherland Rd,2,u,600000,VB,Jellis,6/10/2018,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,3/31 Wattletree Rd,2,u,630000,S,Thomson,6/10/2018,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Ascot Vale,20/157 Epsom Rd,2,u,,S,Brad,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,2/37 Epsom Rd,3,t,910000,PI,Frank,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,3/37 Epsom Rd,3,t,1150000,S,Frank,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,5/37 Epsom Rd,3,t,1070000,PI,Frank,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,2C Ferguson St,2,t,855000,S,Hodges,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,105 Kent St,4,h,1560000,S,Nelson,6/10/2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,53 Gloucester Rd,2,h,,W,Bekdon,6/10/2018,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,2/17 Electra Av,3,t,840000,S,Buxton,6/10/2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
Ashwood,3 Lavidge Rd,2,h,,PI,Harcourts,6/10/2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
Aspendale Gardens,33 Marinique Dr,4,h,790000,S,O'Brien,6/10/2018,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
Avondale Heights,42 Canning St,3,h,600000,SP,Moonee,6/10/2018,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Avondale Heights,16 Monmouth St,3,h,,SN,Moonee,6/10/2018,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Avondale Heights,139 Riviera Rd,5,h,1255000,S,Nelson,6/10/2018,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Bacchus Marsh,18 McFarland St,3,h,500000,VB,Arbee,6/10/2018,3340,Western Victoria,2871,37.5,Moorabool Shire Council
Bacchus Marsh,109 Underbank Bvd,3,h,530000,S,Barry,6/10/2018,3340,Western Victoria,2871,37.5,Moorabool Shire Council
Balwyn,29 Gordon St,4,h,2265000,S,Jellis,6/10/2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,2/72 Rochester Rd,2,u,900000,S,Biggin,6/10/2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,4 Sevenoaks St,3,h,2000000,VB,Fletchers,6/10/2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn North,20 Dight Av,5,h,2110000,PI,Jellis,6/10/2018,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,37 Dight Av,3,h,1910000,PI,Jellis,6/10/2018,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Bayswater,37 Armstrong Rd,4,h,,PI,OBrien,6/10/2018,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Bayswater,30 Coolibah Cr,3,h,690000,PI,Noel,6/10/2018,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Beaumaris,17 Hume St,4,h,,PI,Ray,6/10/2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,146 Oak St,4,h,,PI,Hodges,6/10/2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,11 Vardon Av,4,h,1450000,VB,Buxton,6/10/2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Bentleigh,35B Paschal St,3,t,1050000,PI,Buxton,6/10/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh East,15a Bellevue Rd,4,t,1350000,S,Woodards,6/10/2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,2/64 East Boundary Rd,4,t,950000,VB,Woodards,6/10/2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,2B Milford St,4,t,,S,Buxton,6/10/2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Berwick,13 Fritzlaff Ct,4,h,,PI,Harcourts,6/10/2018,3806,Eastern Victoria,17093,35.2,Casey City Council
Berwick,1/8 Manuka Rd,3,u,,PI,LJ,6/10/2018,3806,Eastern Victoria,17093,35.2,Casey City Council
Blackburn,23 Baldwin Rd,3,h,,VB,Fletchers,6/10/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn,17 Malabar Rd,3,h,1050000,VB,Fletchers,6/10/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn South,25 Craig St,2,h,1010000,SP,McGrath,6/10/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Bonbeach,41 Mascot Av,2,h,873500,S,Thomson,6/10/2018,3196,South-Eastern Metropolitan,2887,27,Kingston City Council
Bonbeach,3/439 Station St,2,u,,PN,Buxton,6/10/2018,3196,South-Eastern Metropolitan,2887,27,Kingston City Council
Boronia,6 Lyell Rd,4,h,637500,S,Ray,6/10/2018,3155,Eastern Metropolitan,9704,25,Knox City Council
Boronia,3 Rankin Rd,4,h,728000,S,Ray,6/10/2018,3155,Eastern Metropolitan,9704,25,Knox City Council
Box Hill,2/39 Dorking Rd,2,t,731000,S,Buxton,6/10/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Box Hill,37 Sweetland Rd,5,h,1290000,VB,Woodards,6/10/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Briar Hill,64 Fernside Av,4,h,750000,PI,Jellis,6/10/2018,3088,Eastern Metropolitan,1390,16.1,Banyule City Council
Brighton,925 Hampton St,3,h,1005000,SP,Buxton,6/10/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,23/568 New St,2,u,691500,S,Buxton,6/10/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton East,47 Blanche St,3,h,,SP,Nick,6/10/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,34 Marriage Rd,4,h,,SN,Nick,6/10/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Broadmeadows,55 Gibson St,3,h,,W,@Realty,6/10/2018,3047,Northern Metropolitan,4294,14,Hume City Council
Broadmeadows,6 Jensen Rd,3,h,750000,S,Barry,6/10/2018,3047,Northern Metropolitan,4294,14,Hume City Council
Brunswick,1/32 Davison St,3,t,,S,Jellis,6/10/2018,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,8 Donald St,5,h,,SN,Jellis,6/10/2018,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,79 Holmes St,2,h,,PI,Ray,6/10/2018,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,12/611 Park St,2,u,552000,S,Woodards,6/10/2018,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,12/757 Park St,2,u,,S,Jellis,6/10/2018,3056,Northern Metropolitan,11918,5.2,Moreland City Council
